Region,Resource,Zone,Cluster,AnnualSum
None,nuclear_SE1,1,1,0.0
None,nuclear_SE2,2,1,0.0
None,nuclear_SE3,3,1,0.0
None,nuclear_SE4,4,1,0.0
None,nuclear_existing_SE3,3,1,0.0
None,thermal_SE1,1,1,0.0
None,thermal_SE2,2,1,0.0
None,thermal_SE3,3,1,0.0
None,thermal_SE4,4,1,0.0
None,hydro_SE1,1,1,0.0
None,hydro_SE2,2,1,0.0
None,hydro_flex_SE1,1,1,0.0
None,hydro_flex_SE2,2,1,0.0
None,hydro_SE3,3,1,0.0
None,hydro_SE4,4,1,0.0
None,gas_OC_SE1,1,1,0.0
None,gas_OC_SE2,2,1,0.0
None,gas_OC_SE3,3,1,0.0
None,gas_OC_SE4,4,1,0.0
None,biogas_OC_SE1,1,1,0.0
None,biogas_OC_SE2,2,1,0.0
None,biogas_OC_SE3,3,1,0.0
None,biogas_OC_SE4,4,1,0.0
None,biomass_SE1,1,1,0.0
None,biomass_SE2,2,1,0.0
None,biomass_SE3,3,1,0.0
None,biomass_SE4,4,1,0.0
None,wind_offshore_existing_SE1,1,1,0.0
None,wind_offshore_existing_SE2,2,1,0.0
None,wind_offshore_existing_SE3,3,1,0.0
None,wind_offshore_existing_SE4,4,1,0.0
None,wind_offshore_SE1,1,1,0.0
None,wind_offshore_SE2,2,1,0.0
None,wind_offshore_SE3,3,1,0.0
None,wind_offshore_SE4,4,1,0.0
None,wind_onshore_existing_SE1,1,1,0.0
None,wind_onshore_existing_SE2,2,1,0.0
None,wind_onshore_existing_SE3,3,1,0.0
None,wind_onshore_existing_SE4,4,1,0.0
None,wind_onshore_SE1,1,1,0.0
None,wind_onshore_SE2,2,1,0.0
None,wind_onshore_SE3,3,1,0.0
None,wind_onshore_SE4,4,1,0.0
None,solar_existing_SE1,1,1,0.0
None,solar_existing_SE2,2,1,0.0
None,solar_existing_SE3,3,1,0.0
None,solar_existing_SE4,4,1,0.0
None,solar_SE1,1,1,0.0
None,solar_SE2,2,1,0.0
None,solar_SE3,3,1,0.0
None,solar_SE4,4,1,0.0
None,battery_storage_SE1,1,1,1.185870333746883e-10
None,battery_storage_SE2,2,1,-7.907593252708055e-11
None,battery_storage_SE3,3,1,-1.1490793114614492e-9
None,battery_storage_SE4,4,1,-3.2801137092615664e-10
None,hydrogen_OC_storage_SE1,1,1,0.0
None,hydrogen_OC_storage_SE2,2,1,0.0
None,hydrogen_OC_storage_SE3,3,1,0.0
None,hydrogen_OC_storage_SE4,4,1,0.0
None,hydrogen_CC_storage_SE1,1,1,0.0
None,hydrogen_CC_storage_SE2,2,1,0.0
None,hydrogen_CC_storage_SE3,3,1,0.0
None,hydrogen_CC_storage_SE4,4,1,0.0
None,hydro_pumped_storage_SE1,1,1,0.0
None,hydro_pumped_storage_SE2,2,1,0.0
None,hydro_pumped_storage_SE3,3,1,0.0
None,hydro_pumped_storage_SE4,4,1,0.0
None,burning_NO125,5,1,0.0
None,burning_NO3,6,1,0.0
None,burning_NO4,7,1,0.0
None,must_run_NO125,5,1,0.0
None,must_run_NO3,6,1,0.0
None,must_run_NO4,7,1,0.0
None,hydro_NO125,5,1,0.0
None,hydro_NO3,6,1,0.0
None,hydro_NO4,7,1,0.0
None,hydro_flex_NO125,5,1,0.0
None,hydro_flex_NO3,6,1,0.0
None,hydro_flex_NO4,7,1,0.0
None,wind_offshore_existing_NO125,5,1,0.0
None,wind_offshore_existing_NO3,6,1,0.0
None,wind_offshore_NO125,5,1,0.0
None,wind_offshore_NO3,6,1,0.0
None,wind_onshore_existing_NO125,5,1,0.0
None,wind_onshore_existing_NO3,6,1,0.0
None,wind_onshore_existing_NO4,7,1,0.0
None,wind_onshore_NO125,5,1,0.0
None,wind_onshore_NO3,6,1,0.0
None,wind_onshore_NO4,7,1,0.0
None,solar_existing_NO125,5,1,0.0
None,solar_existing_NO3,6,1,0.0
None,solar_existing_NO4,7,1,0.0
None,solar_NO125,5,1,0.0
None,solar_NO3,6,1,0.0
None,solar_NO4,7,1,0.0
None,nuclear_existing_FI,8,1,0.0
None,nuclear_FI,8,1,0.0
None,thermal_FI,8,1,0.0
None,coal_hard_FI,8,1,0.0
None,gas_FI,8,1,0.0
None,gas_OC_FI,8,1,0.0
None,hydro_FI,8,1,0.0
None,wind_offshore_existing_FI,8,1,0.0
None,wind_offshore_FI,8,1,0.0
None,wind_onshore_existing_FI,8,1,0.0
None,wind_onshore_FI,8,1,0.0
None,solar_existing_FI,8,1,0.0
None,solar_FI,8,1,0.0
None,battery_FI,8,1,1.9307895321972493e7
None,hydrogen_storage_FI,8,1,0.0
None,must_run_DK1,9,1,0.0
None,must_run_DK2,10,1,0.0
None,coal_hard_DK1,9,1,0.0
None,gas_DK1,9,1,0.0
None,gas_DK2,10,1,0.0
None,gas_CC_CCS_DK1,9,1,0.0
None,gas_CC_CCS_retrofit_DK2,10,1,0.0
None,wind_offshore_existing_DK1,9,1,0.0
None,wind_offshore_existing_DK2,10,1,0.0
None,wind_offshore_DK1,9,1,0.0
None,wind_offshore_DK2,10,1,0.0
None,wind_onshore_existing_DK1,9,1,0.0
None,wind_onshore_existing_DK2,10,1,0.0
None,wind_onshore_DK1,9,1,0.0
None,wind_onshore_DK2,10,1,0.0
None,solar_existing_DK1,9,1,0.0
None,solar_existing_DK2,10,1,0.0
None,solar_DK1,9,1,0.0
None,solar_DK2,10,1,0.0
None,battery_DK1,9,1,7.576825467838362e7
None,battery_DK2,10,1,5.7965990496985175e7
None,nuclear_existing_DE,11,1,0.0
None,nuclear_DE,11,1,0.0
None,must_run_DE,11,1,0.0
None,coal_lignite_DE,11,1,0.0
None,coal_hard_DE,11,1,0.0
None,coal_hard_CCS_DE,11,1,0.0
None,coal_hard_CCS_retrofit_DE,11,1,0.0
None,coal_lignite_CCS_DE,11,1,0.0
None,biogas_OC_DE,11,1,0.0
None,biomass_DE,11,1,0.0
None,biomass_CCS_DE,11,1,0.0
None,gas_CC_CCS_DE,11,1,0.0
None,gas_CC_CCS_retrofit_DE,11,1,0.0
None,gas_CC_DE,11,1,0.0
None,gas_CC_existing_DE,11,1,0.0
None,gas_OC_DE,11,1,0.0
None,gas_OC_existing_DE,11,1,0.0
None,wind_offshore_fixed_existing_DE,11,1,0.0
None,wind_offshore_fixed_DE,11,1,0.0
None,wind_offshore_floating_DE,11,1,0.0
None,wind_onshore_existing_DE,11,1,0.0
None,wind_onshore_DE,11,1,0.0
None,solar_existing_DE,11,1,0.0
None,solar_DE,11,1,0.0
None,hydro_pumped_storage_DE,11,1,3.7454246205542463e8
None,battery_storage_DE,11,1,2.1068412485158532e9
None,hydrogen_OC_storage_DE,11,1,0.0
None,hydrogen_CC_storage_DE,11,1,1.5313138056110137e9
None,nuclear_PL,12,1,0.0
None,must_run_PL,12,1,0.0
None,coal_lignite_PL,12,1,0.0
None,coal_hard_PL,12,1,0.0
None,gas_CC_CCS_PL,12,1,0.0
None,gas_CC_PL,12,1,0.0
None,gas_OC_PL,12,1,0.0
None,wind_offshore_existing_PL,12,1,0.0
None,wind_offshore_PL,12,1,0.0
None,wind_onshore_existing_PL,12,1,0.0
None,wind_onshore_PL,12,1,0.0
None,solar_existing_PL,12,1,0.0
None,solar_PL,12,1,0.0
None,battery_PL,12,1,2.3170139474915534e8
None,nuclear_BT,13,1,0.0
None,nuclear_new_BT,13,1,0.0
None,oilshale_BT,13,1,0.0
None,must_run_BT,13,1,0.0
None,gas_BT,13,1,0.0
None,wind_offshore_BT,13,1,0.0
None,wind_offshore_new_BT,13,1,0.0
None,wind_onshore_BT,13,1,0.0
None,wind_onshore_new_BT,13,1,0.0
None,solar_existing_BT,13,1,0.0
None,solar_BT,13,1,0.0
None,nuclear_UK,14,1,0.0
None,coal_hard_UK,14,1,0.0
None,gas_CC_CCS_UK,14,1,0.0
None,gas_CC_UK,14,1,0.0
None,gas_OC_UK,14,1,0.0
None,wind_offshore_existing_UK,14,1,0.0
None,wind_offshore_UK,14,1,0.0
None,wind_onshore_existing_UK,14,1,0.0
None,wind_onshore_UK,14,1,0.0
None,solar_existing_UK,14,1,0.0
None,solar_UK,14,1,0.0
None,hydro_UK,14,1,0.0
None,hydro_pumped_UK,14,1,3.878774023350508e8
None,battery_UK,14,1,3.680761234781558e8
None,nuclear_FR,15,1,0.0
None,nuclear_existing_FR,15,1,0.0
None,coal_hard_FR,15,1,0.0
None,gas_CC_CCS_FR,15,1,0.0
None,gas_CC_FR,15,1,0.0
None,gas_OC_FR,15,1,0.0
None,wind_offshore_existing_FR,15,1,0.0
