hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
0.838031423,0.841189236,0.838031423,0.838031423,0.838031423
